ID,LINK DOCUMENTI ESTRATTI
39,"https://www.agenziaentrate.gov.it/portale/documents/20143/6581873/Risposta+n.+248_2024.pdf/0e945601-ea7b-dace-1cf0-32e0eed13bc5?t=1733482431255
https://www.agenziaentrate.gov.it/portale/documents/20143/5718712/Circolare_n_32_Regime+forfetario_05_12_2023.pdf/23d1370d-6bba-0eb7-70b8-d1d24d5a1c0f?t=1701795056848
https://www.agenziaentrate.gov.it/portale/documents/20143/6390995/Circolare+CPB_17092024.pdf/79992204-e5b6-6977-e9bc-fb5f7c5894e9?t=1726592486529"
40,"https://www.agenziaentrate.gov.it/portale/documents/20143/297902/Circolare+7+04042017_CIRCOLARE+7_E+DEL+4+APRILE+2017.pdf/d2ed5c82-1c2b-c3e6-8eb3-8f67b33dc17a?t=1491329101020#page=227
https://www.agenziaentrate.gov.it/portale/documents/20143/297902/Circolare+7+04042017_CIRCOLARE+7_E+DEL+4+APRILE+2017.pdf/d2ed5c82-1c2b-c3e6-8eb3-8f67b33dc17a?t=1491329101020#page=244
https://www.agenziaentrate.gov.it/portale/documents/20143/297902/Circolare+7+04042017_CIRCOLARE+7_E+DEL+4+APRILE+2017.pdf/d2ed5c82-1c2b-c3e6-8eb3-8f67b33dc17a?t=1491329101020#page=209"
41,"https://www.agenziaentrate.gov.it/portale/documents/20143/5361482/Risoluzione+n.+38+del+30+giugno+2023+Regime+impatriati+sportivi+definitivo.pdf/d10b559c-83f9-934e-2b09-0300f8ef530e?t=1688140862788
https://www.agenziaentrate.gov.it/portale/documents/20143/3534876/Risposta+n.+447+del+2021.pdf/eccdb43b-2680-0170-6b33-07886094d82c?t=1624618795464
https://www.agenziaentrate.gov.it/portale/documents/20143/2957155/Circolare+n.+33+del+28122020.pdf/e22ac901-2a2c-e580-5516-9b2725a760b3?t=1609162145718"
42,"https://www.agenziaentrate.gov.it/portale/documents/20143/297873/Circolare+n.+17+del+23+maggio+2017_CIRCOLARE+REGIMI+AGEVOLATIVI+PER+PERSONE+FISICHE+CHE+TRASFERISCONO+LA+RESIDENZA+FISCALE+IN+ITALIA+-REGISTRO+CIRCOLARI.0000017.23-05-2017-U+%282%29.pdf/8c361223-0cf1-b41b-be4a-db33664d5855?t=1497872005315
https://www.agenziaentrate.gov.it/portale/documents/20143/300001/Circolare+4+del+15+02+2011_Cir+4e+del+15+02+11.pdf/9ab1e38d-aedf-cbb7-6694-eba408ab129a?t=1300283535962#page=57"
43,"https://www.agenziaentrate.gov.it/portale/documents/20143/5409676/Risoluzione+IVA+agevolata+acquisto+auto+n.+40+del+2023.pdf/07c388a9-5b06-ec76-b3f2-2bb99446a6d1?t=1688743606243
https://www.agenziaentrate.gov.it/portale/documents/20143/4419962/Risposta_313_30.05.2022.pdf/a6d78e52-b461-dea6-8c27-52fbbd70e7ad?t=1653914185135
https://www.agenziaentrate.gov.it/portale/documents/20143/2059938/Risposta+n.+422+del+2019.pdf/6d459f1f-94e1-ecd4-d479-15a90ea5e6c6?t=1571909616410"
44,"https://www.agenziaentrate.gov.it/portale/documents/20143/8418262/Risposta+n.+16_2025.pdf/14406292-2095-da55-e32b-0e92395e797c?t=1738075487703
https://www.agenziaentrate.gov.it/portale/documents/20143/1534633/Risposta%2Bn.%2B207%2Bdel%2B2019.pdf/f6dc18dd-7b95-5948-4ade-d01dfc0e821c?t=1561549244308
https://www.agenziaentrate.gov.it/portale/documents/20143/297873/Circolare+n.+17+del+23+maggio+2017_CIRCOLARE+REGIMI+AGEVOLATIVI+PER+PERSONE+FISICHE+CHE+TRASFERISCONO+LA+RESIDENZA+FISCALE+IN+ITALIA+-REGISTRO+CIRCOLARI.0000017.23-05-2017-U+%282%29.pdf/8c361223-0cf1-b41b-be4a-db33664d5855?t=1497872005315"
45,"https://www.agenziaentrate.gov.it/portale/documents/20143/297902/Circolare+7+04042017_CIRCOLARE+7_E+DEL+4+APRILE+2017.pdf/d2ed5c82-1c2b-c3e6-8eb3-8f67b33dc17a?t=1491329101020#page=209
https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=26
https://www.agenziaentrate.gov.it/portale/documents/20143/3158187/Risposta_127_24.02.2021.pdf/4424144c-408b-2b0e-bb35-c16e5e49e1d4?t=1631026144168"
46,"https://www.agenziaentrate.gov.it/portale/documents/20143/5519468/Circolare_n_27_del_07_09_2023.pdf/7d062164-cf86-3c66-85cf-5400f5757fd0?t=1694106154649
https://www.agenziaentrate.gov.it/portale/documents/20143/4419962/Risposta_292_23.05.2022.pdf/f036bcb9-6126-8899-d673-25498e59fe63?t=1653312044846
https://www.agenziaentrate.gov.it/portale/documents/20143/4669513/Risposta+all%27interpello+n.+475+del+27+settembre+2022.pdf/4e139a7d-b915-6909-ab20-68df31137b89?t=1664279535506"
47,"https://www.agenziaentrate.gov.it/portale/documents/20143/5946178/Risoluzione+n.+14+dell%278+marzo+2024.pdf/690d7316-9ab4-0510-cf4e-ddd79798480e?t=1709902798738
https://www.agenziaentrate.gov.it/portale/documents/20143/8410825/CIRCOLARE+BONUS+EDILIZI+del+19+giugno+2025.pdf/8ee4bdaa-8080-d90c-989f-67947311e344?t=1750317570453
https://www.agenziaentrate.gov.it/portale/documents/20143/5519468/Circolare_n_27_del_07_09_2023.pdf/7d062164-cf86-3c66-85cf-5400f5757fd0?t=1694106154649"
48,"https://www.agenziaentrate.gov.it/portale/documents/20143/5946178/Risoluzione+n.+14+dell%278+marzo+2024.pdf/690d7316-9ab4-0510-cf4e-ddd79798480e?t=1709902798738
https://www.agenziaentrate.gov.it/portale/documents/20143/8410825/CIRCOLARE+BONUS+EDILIZI+del+19+giugno+2025.pdf/8ee4bdaa-8080-d90c-989f-67947311e344?t=1750317570453
https://www.agenziaentrate.gov.it/portale/documents/20143/4563133/Risposta_n_384_2022.pdf/dbb9d6f6-0a2b-e304-59b7-34c67388e154?t=1658308602821"
49,
50,https://www.agenziaentrate.gov.it/portale/documents/20143/6193294/Circolare+plusvalenze+superbonus+n.+13+del+13+giugno+2024_.pdf/6aea10c1-d402-3204-eb3e-b8a64422a43d?t=1718289879388 
51,https://www.agenziaentrate.gov.it/portale/documents/20143/6193294/Circolare+plusvalenze+superbonus+n.+13+del+13+giugno+2024_.pdf/6aea10c1-d402-3204-eb3e-b8a64422a43d?t=1718289879388 
52,"https://www.agenziaentrate.gov.it/portale/documents/20143/2338359/Circolare+n.+2+del+14+febbraio+2020.pdf/cee7f814-8750-9d6d-05ca-46d485c6470f?t=1581704235806
https://www.agenziaentrate.gov.it/portale/documents/20143/3534893/Circolare+n.+7+del+25+giugno+2021.pdf/02b5659b-bc36-ee9e-122f-b16a285cf9ed?t=1624641884225#page=293
https://www.agenziaentrate.gov.it/portale/documents/20143/299914/Circolare+20+del+13+05+2011_Circolare+20e.pdf/b49d5b7b-d746-3d6f-849b-db6e79d55e9e?t=1305279971778#page=17"
53,"https://www.agenziaentrate.gov.it/portale/documents/20143/299914/Circolare+20+del+13+05+2011_Circolare+20e.pdf/b49d5b7b-d746-3d6f-849b-db6e79d55e9e?t=1305279971778
https://www.agenziaentrate.gov.it/portale/documents/20143/2570162/CIRCOLARE+19.pdf/9a1a4c49-7431-74f7-cb7b-b3eaa1d64a16?t=1594207612040#page=76
https://www.agenziaentrate.gov.it/portale/documents/20143/297154/CIRCOLARE+N+13+CORRETTA+SENZA+INDIRIZZI.pdf/de75ad4c-ab90-4535-13fe-1f018dacf92a?t=1560326909411#page=73"
54,https://www.agenziaentrate.gov.it/portale/documents/20143/8413104/Risoluzione+n.+45_2025.pdf/aadaefeb-70ad-0bc1-50a5-44d49897eb4e?t=1751291519908 
55,https://www.agenziaentrate.gov.it/portale/documents/20143/5476626/Risposta+n.+421_2023.pdf/bda96fa6-1db0-14e4-0379-897c2a396012?t=1692957121050 
